assetId,employeeId,assetType,format,title,sourceSystem,lastModified
AST-EMP001-01,EMP001,presentation,pptx,Project update deck - EMP001,OneDrive,2025-01-03
AST-EMP001-02,EMP001,pdf,pdf,Process compliance document - EMP001,OneDrive,2025-01-04
AST-EMP001-03,EMP001,word,docx,Design specification - EMP001,OneDrive,2025-01-05
AST-EMP001-04,EMP001,text,txt,Shift handoff notes - EMP001,OneDrive,2025-01-06
AST-EMP001-05,EMP001,onenote,one,Lab observations notebook - EMP001,OneDrive,2025-01-07
AST-EMP001-06,EMP001,spreadsheet,xlsx,Equipment inventory tracker - EMP001,OneDrive,2025-01-14
AST-EMP001-07,EMP001,spreadsheet-csv,csv,Department metrics export - EMP001,OneDrive,2025-02-01
AST-EMP001-08,EMP001,knowledge-note,md,Knowledge summary notes - EMP001,OneDrive,2025-03-01
AST-EMP002-01,EMP002,presentation,pptx,Project update deck - EMP002,OneDrive,2025-01-04
AST-EMP002-02,EMP002,pdf,pdf,Process compliance document - EMP002,OneDrive,2025-01-05
AST-EMP002-03,EMP002,word,docx,Design specification - EMP002,OneDrive,2025-01-06
AST-EMP002-04,EMP002,text,txt,Shift handoff notes - EMP002,OneDrive,2025-01-07
AST-EMP002-05,EMP002,onenote,one,Lab observations notebook - EMP002,OneDrive,2025-01-08
AST-EMP002-06,EMP002,spreadsheet,xlsx,Skills matrix - EMP002,OneDrive,2025-01-15
AST-EMP002-07,EMP002,spreadsheet-csv,csv,Department metrics export - EMP002,OneDrive,2025-02-02
AST-EMP002-08,EMP002,knowledge-note,md,Knowledge summary notes - EMP002,OneDrive,2025-03-02
AST-EMP003-01,EMP003,presentation,pptx,Project update deck - EMP003,OneDrive,2025-01-05
AST-EMP003-02,EMP003,pdf,pdf,Process compliance document - EMP003,OneDrive,2025-01-06
AST-EMP003-03,EMP003,word,docx,Design specification - EMP003,OneDrive,2025-01-07
AST-EMP003-04,EMP003,text,txt,Shift handoff notes - EMP003,OneDrive,2025-01-08
AST-EMP003-05,EMP003,onenote,one,Lab observations notebook - EMP003,OneDrive,2025-01-09
AST-EMP003-06,EMP003,spreadsheet,xlsx,System resource utilization - EMP003,OneDrive,2025-01-16
AST-EMP003-07,EMP003,spreadsheet-csv,csv,Department metrics export - EMP003,OneDrive,2025-02-03
AST-EMP003-08,EMP003,knowledge-note,md,Knowledge summary notes - EMP003,OneDrive,2025-03-03
AST-EMP004-01,EMP004,presentation,pptx,Project update deck - EMP004,OneDrive,2025-01-06
AST-EMP004-02,EMP004,pdf,pdf,Process compliance document - EMP004,OneDrive,2025-01-07
AST-EMP004-03,EMP004,word,docx,Design specification - EMP004,OneDrive,2025-01-08
AST-EMP004-04,EMP004,text,txt,Shift handoff notes - EMP004,OneDrive,2025-01-09
AST-EMP004-05,EMP004,onenote,one,Lab observations notebook - EMP004,OneDrive,2025-01-10
AST-EMP004-06,EMP004,spreadsheet,xlsx,Budget tracker - EMP004,OneDrive,2025-01-17
AST-EMP004-07,EMP004,spreadsheet-csv,csv,Department metrics export - EMP004,OneDrive,2025-02-04
AST-EMP004-08,EMP004,knowledge-note,md,Knowledge summary notes - EMP004,OneDrive,2025-03-04
