projectId,projectName,description,department,status,startDate,endDate,employeeIds,skills
PRJ001,NextGen Etch Process Automation,Automate wafer etch process control using ML-based anomaly detection to reduce defect rates and improve equipment uptime.,Manufacturing,Active,2024-01-15,,"['EMP001', 'EMP003', 'EMP007', 'EMP012', 'EMP028']","['MLOps', 'Python', 'Azure AI', 'Manufacturing']"
PRJ002,Employee Knowledge Graph Platform,"Build a Microsoft Fabric-powered ontology and knowledge graph indexing all employee skills, documents, and org relationships.",IT,Active,2024-02-01,,"['EMP002', 'EMP004', 'EMP009', 'EMP015', 'EMP031', 'EMP047']","['Fabric', 'Ontology', 'Power BI', 'Azure AI', 'TypeScript']"
PRJ003,Global HR Analytics Dashboard,"Deliver a real-time HR analytics suite covering headcount trends, attrition prediction, and talent gap analysis across all regions.",HR,Active,2024-03-10,,"['EMP002', 'EMP006', 'EMP018', 'EMP033', 'EMP052']","['Power BI', 'Synapse', 'Python', 'Kusto']"
PRJ004,Semiconductor Yield Improvement Initiative,Cross-functional project to identify root causes of below-spec yield using statistical process control and AI-driven root cause analysis.,R&D,Active,2023-11-01,,"['EMP005', 'EMP011', 'EMP022', 'EMP038', 'EMP061', 'EMP074']","['Python', 'MLOps', 'Azure AI', 'Manufacturing', 'Ontology']"
PRJ005,Procurement Cost Optimization,Leverage AI-driven spend analysis and supplier benchmarking to reduce procurement costs by 12% within fiscal year.,Procurement,Active,2024-04-01,,"['EMP008', 'EMP016', 'EMP029', 'EMP045']","['Power BI', 'Python', 'Synapse']"
PRJ006,Private AI Foundry Integration,Connect internal engineering systems to Azure AI Foundry via private endpoints and APIM gateway for secure model access.,IT,Active,2024-05-15,,"['EMP003', 'EMP009', 'EMP020', 'EMP036', 'EMP058']","['Azure AI', 'TypeScript', 'Fabric', 'MLOps']"
PRJ007,Safety Compliance Digitization,Replace paper-based safety audit processes with a digital platform backed by Cosmos DB and document intelligence parsing.,Operations,Completed,2023-06-01,2024-02-28,"['EMP010', 'EMP019', 'EMP034', 'EMP050']","['Python', 'Azure AI', 'Fabric']"
PRJ008,Fab Equipment Digital Twin,Create real-time digital twins of fabrication equipment using IoT telemetry and Azure Synapse analytics for predictive maintenance.,Manufacturing,Active,2024-01-01,,"['EMP001', 'EMP013', 'EMP024', 'EMP041', 'EMP065', 'EMP083']","['Azure AI', 'Synapse', 'Python', 'MLOps']"
PRJ009,Talent Mobility & Reskilling Program,Identify internal talent redeployment opportunities using skill ontology matching and recommend reskilling paths via AI copilot.,HR,Active,2024-06-01,,"['EMP002', 'EMP014', 'EMP026', 'EMP043', 'EMP067']","['Ontology', 'Fabric', 'Power BI', 'Azure AI']"
PRJ010,OneLake Semantic Layer Rollout,Standardize enterprise data products on OneLake with governed semantic models and certified dataset publishing for all business units.,IT,Active,2024-03-01,,"['EMP004', 'EMP009', 'EMP021', 'EMP037', 'EMP054', 'EMP072']","['Fabric', 'Power BI', 'Synapse', 'Kusto']"
PRJ011,Global Supply Chain Visibility,"Integrate supplier EDI feeds, logistics APIs, and ERP data into a unified supply chain monitoring dashboard with AI alerting.",Procurement,Planning,2024-09-01,,"['EMP008', 'EMP017', 'EMP030', 'EMP046', 'EMP069']","['Python', 'Synapse', 'Power BI', 'Azure AI']"
PRJ012,Plasma Process ML Optimization,Apply reinforcement learning to continuously tune plasma etch recipe parameters for optimal uniformity and selectivity.,R&D,Active,2023-09-01,,"['EMP005', 'EMP023', 'EMP039', 'EMP060', 'EMP076']","['MLOps', 'Python', 'Azure AI']"
PRJ013,Internal Copilot for Engineering,"Deploy a Microsoft Copilot Studio agent grounded on internal engineering documentation, spec sheets, and failure analysis reports.",IT,Active,2024-07-01,,"['EMP003', 'EMP009', 'EMP025', 'EMP042', 'EMP063', 'EMP080']","['Azure AI', 'Fabric', 'Ontology', 'TypeScript']"
PRJ014,Finance Reporting Modernization,Migrate legacy Finance reporting from on-prem SSRS to Power BI with live Synapse connections and certified KPI definitions.,Finance,Completed,2023-04-01,2024-01-31,"['EMP015', 'EMP027', 'EMP044', 'EMP062']","['Power BI', 'Synapse', 'Kusto']"
PRJ015,Cleanroom Environmental Monitoring,Deploy IoT-based environmental sensors across cleanroom facilities and build a real-time alerting platform for airborne particle thresholds.,Operations,Active,2024-02-15,,"['EMP010', 'EMP032', 'EMP048', 'EMP070', 'EMP087']","['Azure AI', 'Python', 'Synapse']"
PRJ016,Document Intelligence Parsing Pipeline,Automate extraction and classification of engineering documents using Azure AI Document Intelligence with confidence-scored output to Cosmos DB.,IT,Completed,2023-08-01,2024-03-31,"['EMP003', 'EMP007', 'EMP020', 'EMP035', 'EMP055']","['Azure AI', 'Python', 'Fabric', 'MLOps']"
PRJ017,Enterprise Search & Knowledge Retrieval,Implement Azure AI Search over OneLake and Cosmos DB to enable semantic search across all employee knowledge artifacts and project content.,IT,Active,2024-05-01,,"['EMP004', 'EMP009', 'EMP022', 'EMP040', 'EMP059', 'EMP078']","['Azure AI', 'Fabric', 'Python', 'TypeScript', 'Ontology']"
PRJ018,Sustainability & Carbon Footprint Tracking,"Build an ESG data platform tracking energy consumption, water usage, and carbon emissions across all Lam Research manufacturing sites.",Operations,Planning,2024-10-01,,"['EMP010', 'EMP018', 'EMP031', 'EMP049', 'EMP068']","['Power BI', 'Synapse', 'Python']"
PRJ019,Wafer Metrology Data Lake,Centralize wafer metrology measurements from multiple fab tools into a governed OneLake data lake with lineage tracking and quality gates.,R&D,Active,2024-01-20,,"['EMP005', 'EMP011', 'EMP024', 'EMP038', 'EMP057', 'EMP075', 'EMP090']","['Fabric', 'Synapse', 'Python', 'Kusto']"
PRJ020,Workforce Planning & Scenario Modelling,"Build a scenario modelling tool enabling HR and Finance to simulate headcount growth, skill gap evolution, and budget impact for 3-year plans.",HR,Planning,2024-11-01,,"['EMP002', 'EMP006', 'EMP014', 'EMP027', 'EMP044', 'EMP066']","['Power BI', 'Python', 'Fabric', 'Synapse']"
